,close_time
0,2019-09-25 05:59:59.999
1,2019-09-25 06:29:59.999
2,2019-09-25 06:59:59.999
3,2019-09-25 07:29:59.999
4,2019-09-25 07:59:59.999
5,2019-09-25 08:29:59.999
6,2019-09-25 08:59:59.999
7,2019-09-25 09:29:59.999
8,2019-09-25 09:59:59.999
9,2019-09-25 10:29:59.999
10,2019-09-25 10:59:59.999
11,2019-09-25 11:29:59.999
12,2019-09-25 11:59:59.999
13,2019-09-25 12:29:59.999
14,2019-09-25 12:59:59.999
15,2019-09-25 13:29:59.999
16,2019-09-25 13:59:59.999
17,2019-09-25 14:29:59.999
18,2019-09-25 14:59:59.999
19,2019-09-25 15:29:59.999
20,2019-09-25 15:59:59.999
21,2019-09-25 16:29:59.999
22,2019-09-25 16:59:59.999
23,2019-09-25 17:29:59.999
24,2019-09-25 17:59:59.999
25,2019-09-25 18:29:59.999
26,2019-09-25 18:59:59.999
27,2019-09-25 19:29:59.999
28,2019-09-25 19:59:59.999
29,2019-09-25 20:29:59.999
30,2019-09-25 20:59:59.999
31,2019-09-25 21:29:59.999
32,2019-09-25 21:59:59.999
33,2019-09-25 22:29:59.999
34,2019-09-25 22:59:59.999
35,2019-09-25 23:29:59.999
36,2019-09-25 23:59:59.999
37,2019-09-26 00:29:59.999
38,2019-09-26 00:59:59.999
39,2019-09-26 01:29:59.999
40,2019-09-26 01:59:59.999
41,2019-09-26 02:29:59.999
42,2019-09-26 02:59:59.999
43,2019-09-26 03:29:59.999
44,2019-09-26 03:59:59.999
45,2019-09-26 04:29:59.999
46,2019-09-26 04:59:59.999
47,2019-09-26 05:29:59.999
48,2019-09-26 05:59:59.999
49,2019-09-26 06:29:59.999
50,2019-09-26 06:59:59.999
51,2019-09-26 07:29:59.999
52,2019-09-26 07:59:59.999
53,2019-09-26 08:29:59.999
54,2019-09-26 08:59:59.999
55,2019-09-26 09:29:59.999
56,2019-09-26 09:59:59.999
57,2019-09-26 10:29:59.999
58,2019-09-26 10:59:59.999
59,2019-09-26 11:29:59.999
60,2019-09-26 11:59:59.999
61,2019-09-26 12:29:59.999
62,2019-09-26 12:59:59.999
63,2019-09-26 13:29:59.999
64,2019-09-26 13:59:59.999
65,2019-09-26 14:29:59.999
66,2019-09-26 14:59:59.999
67,2019-09-26 15:29:59.999
68,2019-09-26 15:59:59.999
69,2019-09-26 16:29:59.999
70,2019-09-26 16:59:59.999
71,2019-09-26 17:29:59.999
72,2019-09-26 17:59:59.999
73,2019-09-26 18:29:59.999
74,2019-09-26 18:59:59.999
75,2019-09-26 19:29:59.999
76,2019-09-26 19:59:59.999
77,2019-09-26 20:29:59.999
78,2019-09-26 20:59:59.999
79,2019-09-26 21:29:59.999
80,2019-09-26 21:59:59.999
81,2019-09-26 22:29:59.999
82,2019-09-26 22:59:59.999
83,2019-09-26 23:29:59.999
84,2019-09-26 23:59:59.999
85,2019-09-27 00:29:59.999
86,2019-09-27 00:59:59.999
87,2019-09-27 01:29:59.999
88,2019-09-27 01:59:59.999
89,2019-09-27 02:29:59.999
90,2019-09-27 02:59:59.999
91,2019-09-27 03:29:59.999
92,2019-09-27 03:59:59.999
93,2019-09-27 04:29:59.999
94,2019-09-27 04:59:59.999
95,2019-09-27 05:29:59.999
96,2019-09-27 05:59:59.999
97,2019-09-27 06:29:59.999
98,2019-09-27 06:59:59.999
99,2019-09-27 07:29:59.999
100,2019-09-27 07:59:59.999
101,2019-09-27 08:29:59.999
102,2019-09-27 08:59:59.999
103,2019-09-27 09:29:59.999
104,2019-09-27 09:59:59.999
105,2019-09-27 10:29:59.999
106,2019-09-27 10:59:59.999
107,2019-09-27 11:29:59.999
108,2019-09-27 11:59:59.999
109,2019-09-27 12:29:59.999
110,2019-09-27 12:59:59.999
111,2019-09-27 13:29:59.999
112,2019-09-27 13:59:59.999
113,2019-09-27 14:29:59.999
114,2019-09-27 14:59:59.999
115,2019-09-27 15:29:59.999
116,2019-09-27 15:59:59.999
117,2019-09-27 16:29:59.999
118,2019-09-27 16:59:59.999
119,2019-09-27 17:29:59.999
120,2019-09-27 17:59:59.999
121,2019-09-27 18:29:59.999
122,2019-09-27 18:59:59.999
123,2019-09-27 19:29:59.999
124,2019-09-27 19:59:59.999
125,2019-09-27 20:29:59.999
126,2019-09-27 20:59:59.999
127,2019-09-27 21:29:59.999
128,2019-09-27 21:59:59.999
129,2019-09-27 22:29:59.999
130,2019-09-27 22:59:59.999
131,2019-09-27 23:29:59.999
132,2019-09-27 23:59:59.999
133,2019-09-28 00:29:59.999
134,2019-09-28 00:59:59.999
135,2019-09-28 01:29:59.999
136,2019-09-28 01:59:59.999
137,2019-09-28 02:29:59.999
138,2019-09-28 02:59:59.999
139,2019-09-28 03:29:59.999
140,2019-09-28 03:59:59.999
141,2019-09-28 04:29:59.999
142,2019-09-28 04:59:59.999
143,2019-09-28 05:29:59.999
144,2019-09-28 05:59:59.999
145,2019-09-28 06:29:59.999
146,2019-09-28 06:59:59.999
147,2019-09-28 07:29:59.999
148,2019-09-28 07:59:59.999
149,2019-09-28 08:29:59.999
150,2019-09-28 08:59:59.999
151,2019-09-28 09:29:59.999
152,2019-09-28 09:59:59.999
153,2019-09-28 10:29:59.999
154,2019-09-28 10:59:59.999
155,2019-09-28 11:29:59.999
156,2019-09-28 11:59:59.999
157,2019-09-28 12:29:59.999
158,2019-09-28 12:59:59.999
159,2019-09-28 13:29:59.999
160,2019-09-28 13:59:59.999
161,2019-09-28 14:29:59.999
162,2019-09-28 14:59:59.999
163,2019-09-28 15:29:59.999
164,2019-09-28 15:59:59.999
165,2019-09-28 16:29:59.999
166,2019-09-28 16:59:59.999
167,2019-09-28 17:29:59.999
168,2019-09-28 17:59:59.999
169,2019-09-28 18:29:59.999
170,2019-09-28 18:59:59.999
171,2019-09-28 19:29:59.999
172,2019-09-28 19:59:59.999
173,2019-09-28 20:29:59.999
174,2019-09-28 20:59:59.999
175,2019-09-28 21:29:59.999
176,2019-09-28 21:59:59.999
177,2019-09-28 22:29:59.999
178,2019-09-28 22:59:59.999
179,2019-09-28 23:29:59.999
180,2019-09-28 23:59:59.999
181,2019-09-29 00:29:59.999
182,2019-09-29 00:59:59.999
183,2019-09-29 01:29:59.999
184,2019-09-29 01:59:59.999
185,2019-09-29 02:29:59.999
186,2019-09-29 02:59:59.999
187,2019-09-29 03:29:59.999
188,2019-09-29 03:59:59.999
189,2019-09-29 04:29:59.999
190,2019-09-29 04:59:59.999
191,2019-09-29 05:29:59.999
192,2019-09-29 05:59:59.999
193,2019-09-29 06:29:59.999
194,2019-09-29 06:59:59.999
195,2019-09-29 07:29:59.999
196,2019-09-29 07:59:59.999
197,2019-09-29 08:29:59.999
198,2019-09-29 08:59:59.999
199,2019-09-29 09:29:59.999
200,2019-09-29 09:59:59.999
201,2019-09-29 10:29:59.999
202,2019-09-29 10:59:59.999
203,2019-09-29 11:29:59.999
204,2019-09-29 11:59:59.999
205,2019-09-29 12:29:59.999
206,2019-09-29 12:59:59.999
207,2019-09-29 13:29:59.999
208,2019-09-29 13:59:59.999
209,2019-09-29 14:29:59.999
210,2019-09-29 14:59:59.999
211,2019-09-29 15:29:59.999
212,2019-09-29 15:59:59.999
213,2019-09-29 16:29:59.999
214,2019-09-29 16:59:59.999
215,2019-09-29 17:29:59.999
216,2019-09-29 17:59:59.999
217,2019-09-29 18:29:59.999
218,2019-09-29 18:59:59.999
219,2019-09-29 19:29:59.999
220,2019-09-29 19:59:59.999
221,2019-09-29 20:29:59.999
222,2019-09-29 20:59:59.999
223,2019-09-29 21:29:59.999
224,2019-09-29 21:59:59.999
225,2019-09-29 22:29:59.999
226,2019-09-29 22:59:59.999
227,2019-09-29 23:29:59.999
228,2019-09-29 23:59:59.999
229,2019-09-30 00:29:59.999
230,2019-09-30 00:59:59.999
231,2019-09-30 01:29:59.999
232,2019-09-30 01:59:59.999
233,2019-09-30 02:29:59.999
234,2019-09-30 02:59:59.999
235,2019-09-30 03:29:59.999
236,2019-09-30 03:59:59.999
237,2019-09-30 04:29:59.999
238,2019-09-30 04:59:59.999
239,2019-09-30 05:29:59.999
240,2019-09-30 05:59:59.999
241,2019-09-30 06:29:59.999
242,2019-09-30 06:59:59.999
243,2019-09-30 07:29:59.999
244,2019-09-30 07:59:59.999
245,2019-09-30 08:29:59.999
246,2019-09-30 08:59:59.999
247,2019-09-30 09:29:59.999
248,2019-09-30 09:59:59.999
249,2019-09-30 10:29:59.999
250,2019-09-30 10:59:59.999
251,2019-09-30 11:29:59.999
252,2019-09-30 11:59:59.999
253,2019-09-30 12:29:59.999
254,2019-09-30 12:59:59.999
255,2019-09-30 13:29:59.999
256,2019-09-30 13:59:59.999
257,2019-09-30 14:29:59.999
258,2019-09-30 14:59:59.999
259,2019-09-30 15:29:59.999
260,2019-09-30 15:59:59.999
261,2019-09-30 16:29:59.999
262,2019-09-30 16:59:59.999
263,2019-09-30 17:29:59.999
264,2019-09-30 17:59:59.999
265,2019-09-30 18:29:59.999
266,2019-09-30 18:59:59.999
267,2019-09-30 19:29:59.999
268,2019-09-30 19:59:59.999
269,2019-09-30 20:29:59.999
270,2019-09-30 20:59:59.999
271,2019-09-30 21:29:59.999
272,2019-09-30 21:59:59.999
273,2019-09-30 22:29:59.999
274,2019-09-30 22:59:59.999
275,2019-09-30 23:29:59.999
276,2019-09-30 23:59:59.999
277,2019-10-01 00:29:59.999
278,2019-10-01 00:59:59.999
279,2019-10-01 01:29:59.999
280,2019-10-01 01:59:59.999
281,2019-10-01 02:29:59.999
282,2019-10-01 02:59:59.999
283,2019-10-01 03:29:59.999
284,2019-10-01 03:59:59.999
285,2019-10-01 04:29:59.999
286,2019-10-01 04:59:59.999
287,2019-10-01 05:29:59.999
288,2019-10-01 05:59:59.999
289,2019-10-01 06:29:59.999
290,2019-10-01 06:59:59.999
291,2019-10-01 07:29:59.999
292,2019-10-01 07:59:59.999
293,2019-10-01 08:29:59.999
294,2019-10-01 08:59:59.999
295,2019-10-01 09:29:59.999
296,2019-10-01 09:59:59.999
297,2019-10-01 10:29:59.999
298,2019-10-01 10:59:59.999
299,2019-10-01 11:29:59.999
300,2019-10-01 11:59:59.999
301,2019-10-01 12:29:59.999
302,2019-10-01 12:59:59.999
303,2019-10-01 13:29:59.999
304,2019-10-01 13:59:59.999
305,2019-10-01 14:29:59.999
306,2019-10-01 14:59:59.999
307,2019-10-01 15:29:59.999
308,2019-10-01 15:59:59.999
309,2019-10-01 16:29:59.999
310,2019-10-01 16:59:59.999
311,2019-10-01 17:29:59.999
312,2019-10-01 17:59:59.999
313,2019-10-01 18:29:59.999
314,2019-10-01 18:59:59.999
315,2019-10-01 19:29:59.999
316,2019-10-01 19:59:59.999
317,2019-10-01 20:29:59.999
318,2019-10-01 20:59:59.999
319,2019-10-01 21:29:59.999
320,2019-10-01 21:59:59.999
321,2019-10-01 22:29:59.999
322,2019-10-01 22:59:59.999
323,2019-10-01 23:29:59.999
324,2019-10-01 23:59:59.999
325,2019-10-02 00:29:59.999
326,2019-10-02 00:59:59.999
327,2019-10-02 01:29:59.999
328,2019-10-02 01:59:59.999
329,2019-10-02 02:29:59.999
330,2019-10-02 02:59:59.999
331,2019-10-02 03:29:59.999
332,2019-10-02 03:59:59.999
333,2019-10-02 04:29:59.999
334,2019-10-02 04:59:59.999
335,2019-10-02 05:29:59.999
336,2019-10-02 05:59:59.999
337,2019-10-02 06:29:59.999
338,2019-10-02 06:59:59.999
339,2019-10-02 07:29:59.999
340,2019-10-02 07:59:59.999
341,2019-10-02 08:29:59.999
342,2019-10-02 08:59:59.999
343,2019-10-02 09:29:59.999
344,2019-10-02 09:59:59.999
345,2019-10-02 10:29:59.999
346,2019-10-02 10:59:59.999
347,2019-10-02 11:29:59.999
348,2019-10-02 11:59:59.999
349,2019-10-02 12:29:59.999
350,2019-10-02 12:59:59.999
351,2019-10-02 13:29:59.999
352,2019-10-02 13:59:59.999
353,2019-10-02 14:29:59.999
354,2019-10-02 14:59:59.999
355,2019-10-02 15:29:59.999
356,2019-10-02 15:59:59.999
357,2019-10-02 16:29:59.999
358,2019-10-02 16:59:59.999
359,2019-10-02 17:29:59.999
360,2019-10-02 17:59:59.999
361,2019-10-02 18:29:59.999
362,2019-10-02 18:59:59.999
363,2019-10-02 19:29:59.999
364,2019-10-02 19:59:59.999
365,2019-10-02 20:29:59.999
366,2019-10-02 20:59:59.999
367,2019-10-02 21:29:59.999
368,2019-10-02 21:59:59.999
369,2019-10-02 22:29:59.999
370,2019-10-02 22:59:59.999
371,2019-10-02 23:29:59.999
372,2019-10-02 23:59:59.999
373,2019-10-03 00:29:59.999
374,2019-10-03 00:59:59.999
375,2019-10-03 01:29:59.999
376,2019-10-03 01:59:59.999
377,2019-10-03 02:29:59.999
378,2019-10-03 02:59:59.999
379,2019-10-03 03:29:59.999
380,2019-10-03 03:59:59.999
381,2019-10-03 04:29:59.999
382,2019-10-03 04:59:59.999
383,2019-10-03 05:29:59.999
384,2019-10-03 05:59:59.999
385,2019-10-03 06:29:59.999
386,2019-10-03 06:59:59.999
387,2019-10-03 07:29:59.999
388,2019-10-03 07:59:59.999
389,2019-10-03 08:29:59.999
390,2019-10-03 08:59:59.999
391,2019-10-03 09:29:59.999
392,2019-10-03 09:59:59.999
393,2019-10-03 10:29:59.999
394,2019-10-03 10:59:59.999
395,2019-10-03 11:29:59.999
396,2019-10-03 11:59:59.999
397,2019-10-03 12:29:59.999
398,2019-10-03 12:59:59.999
399,2019-10-03 13:29:59.999
400,2019-10-03 13:59:59.999
401,2019-10-03 14:29:59.999
402,2019-10-03 14:59:59.999
403,2019-10-03 15:29:59.999
