i,dir,p_now,p_future,gross_ret,net_ret,balance
0,-1,107133.23,107190.76,-0.0005369949174500732,-0.0005369949174500732,9994.630050825499
2,1,107190.76,107390.02,0.00185892888528838,0.00185892888528838,10013.20935732475
4,-1,107390.02,107578.74,-0.001757332757736707,-0.001757332757736707,9995.612816511048
6,1,107578.74,107430.0,-0.00138261518958116,-0.00138261518958116,9981.792730401767
8,1,107430.0,107079.86,-0.003259238573955159,-0.003259238573955159,9949.259686497617
10,-1,107079.86,107082.16,-2.1479295919890617e-05,-2.1479295919890617e-05,9949.045983404627
12,-1,107082.16,107013.01,0.0006457658306482372,0.0006457658306482372,9955.470737348258
14,-1,107013.01,106679.89,0.003112892535215961,0.003112892535215961,9986.46104789111
16,-1,106679.89,107145.45,-0.004364083989962797,-0.004364083989962797,9942.879293115622
18,-1,107145.45,107290.7,-0.0013556338603273321,-0.0013556338603273321,9929.400389276727
20,1,107290.7,107435.8,0.0013524005342495649,0.0013524005342495649,9942.828915667962
22,1,107435.8,107480.78,0.00041866863745609884,0.00041866863745609884,9946.991666302543
24,1,107480.78,107317.96,-0.001514875496809731,-0.001514875496809731,9931.92321236029
26,-1,107317.96,107220.87,0.0009046947966585561,0.0009046947966585561,9940.908571611326
28,1,107220.87,106919.34,-0.0028122323573759322,-0.0028122323573759322,9912.952426864525
30,1,106919.34,107034.64,0.0010783830128393568,0.0010783830128393568,9923.642386368741
32,-1,107034.64,107158.48,-0.0011570086095491483,-0.0011570086095491483,9912.160646689626
34,-1,107158.48,107034.92,0.0011530585353580758,0.0011530585353580758,9923.589948127132
36,-1,107034.92,106894.46,0.001312282010394239,0.001312282010394239,9936.612496694586
38,-1,106894.46,106679.89,0.0020073070204013055,0.0020073070204013055,9956.558328718209
40,1,106679.89,106874.65,0.001825648676615499,0.001825648676615499,9974.735506254678
42,-1,106874.65,106532.55,0.0032009461551452123,0.0032009461551452123,10006.664097522014
44,-1,106532.55,107368.43,-0.007846240421354622,-0.007846240421354622,9928.149405197119
46,-1,107368.43,107409.83,-0.00038558820316181297,-0.00038558820316181297,9924.321227907247
48,1,107409.83,106915.05,-0.004606468514101514,-0.004606468514101514,9878.605154647063
50,-1,106915.05,106641.45,0.0025590410330444957,0.0025590410330444957,9903.884910587049
52,-1,106641.45,106999.99,-0.0033621073231844267,-0.0033621073231844267,9870.586986601189
54,-1,106999.99,107115.93,-0.0010835515031355492,-0.0010835515031355492,9859.891697235027
56,1,107115.93,107094.9,-0.00019632934149005354,-0.00019632934149005354,9857.955911190946
58,1,107094.9,107070.0,-0.00023250406882113772,-0.00023250406882113772,9855.663896331334
60,1,107070.0,107000.01,-0.0006536845054637697,-0.0006536845054637697,9849.221401551244
62,-1,107000.01,107144.43,-0.0013497195000262696,-0.0013497195000262696,9835.927715365493
64,-1,107144.43,107106.47,0.00035428813238347345,0.00035428813238347345,9839.412467826029
